"","links","names"
"134","/watch?v=wZXY2MUOX0A","Sink or Swim 149 SSBU Grand Finals - Thor (Cloud) vs JumboJack (Diddy Kong)"
"135","/watch?v=uZ9NMjDL5CY","SSBU @ Battlegroundz - Grand Finals: SexyBeast420 vs ClubberDan(L)"
"136","/watch?v=h-bbhP9R8pc","Revival of SA 6 - SSBU - Nikes (Yoshi) vs OE Rust (Inkling) - Grand Finals"
"137","/watch?v=oH02MOMGpAM","Spectrum #107 - Ho3k | Frozen (Peach) Vs. Iluz | Juice (Falco) - Grand Finals - SSBU"
"138","/watch?v=-t4xyW6X0Hg","Spectrum #107 - Beast / Juice Vs. Darkmatter / Chrismus - Grand Finals - SSBU"
"139","/watch?v=PsDz10DdJEo","PBLK Wood(Hero,G&W) vs Sakuto(Robin)  Arcade Legacy #31 SSBU  Grand Finals"
"140","/watch?v=1bGVWlVJS34","Monster Slayer 1v1 Me SSBU - Tortas FC vs Jonestly (Grand Finals)"
"141","/watch?v=L5jtFgQjU0U","Uesma 24 SSBU - SST | Yamanyon (ZSS) Vs. Kirihara (Rosalina) Smash Ultimate Tournament Grand Finals"
"142","/watch?v=XQQGEDdYgc4","Smash Ultimate Tournament - ZD [L] (Roy) Vs. Dexter (Wolf) S@X 317 SSBU Grand Finals"
"143","/watch?v=ne84qKXqPps","Fates (Ganon) vs Mr Newport (Little Mac) Grand Finals | SSBU Tournament @ GGC Mini-Glitch"
"144","/watch?v=re-8TrB4Qgo","DDD30 SSBU Grand Finals - Asotil (Richter) vs Skylar (Mr Game & Watch)"
"145","/watch?v=SM2eeEHh61Y","Engine League #4/MorrocoYo (Robin) vs VeXx(Inkling)/ SSBU Singles Grand FInals"
"146","/watch?v=ejGWvbOgsHI","MkLeo vs Samsora - GRAND FINALS: Ultimate Singles Top 12 - Shine 2019 | Joker vs Peach"
"147","/watch?v=FvtJVvKHSj8","Smash Lab 186 SSBU Amateur Bracket Grand Finals BStuck (R.O.B.) vs. Gianni (Pokemon Trainer)"
"148","/watch?v=lH3S2whR-SA","Smash Lab 186 SSBU Grand Finals Skylar (G&W) vs. SilentRain (Mario)"
"149","/watch?v=0PRqpwsx2NI","Dark Wizzy/MkLeo vs Marss/Light - GRAND FINALS: Ultimate Doubles | Shine 2019"
"150","/watch?v=MMwzfvi5OxI","SL Ultimate #37 - Loro (Diddy Kong) vs Chomo (Roy, Inkling) - Grand Finals"
"151","/watch?v=Pel_BchPhMg","LunarWeek14 - NPT | Ninja [L] (Mario) VS LSD | C3P0 (Snake) SSBU Grand Finals"
"152","/watch?v=Hp7F4EBqHms","USW 37 - TG | MVD (Snake) vs Grayson (ROB) Grand Finals - SSBU"
"153","/watch?v=bDl1dkKAsEs","Throwdown LX #65 - Puto_Guilhas (Peach) vs Zerin (Ness) - SSBU Grand Finals"
"154","/watch?v=RkHuOi7vHWA","Spectrum #106 - SpS | Leon (Bowser) Vs. Illuz | Juice (Falco) - Grand Finals - SSBU"
"155","/watch?v=fZr1wjFP6TQ","GRAND FINALS - SSBU - Zen's Hotdog Stand #108 - Skilly (Villager) vs Skittles!! (Young Link)"
"156","/watch?v=hn7dpIOt948","[SSBU] Grand Finals / RY (Snake) vs JFC21 (Peach)"
"157","/watch?v=ccq3x5fptXY","Catawba Brewing (08/17/19) | Shenanigans vs Mr. MooMoo | SSBU Grand Final"
"158","/watch?v=YvGPd4MjIiQ","SFGC: Summer Salt 2019 | SSBU | Grand Finals: Dagoe (Pokemon Trainer) vs . (Lucina/Mario)"
"159","/watch?v=0RzLVDWXPBQ","SSBU @ Battlegroundz - Grand Finals: [L]Starri (Zelda/Falco/Piranha Plant) vs Jynx (Bayo/Wii Fit)"
"160","/watch?v=rQRlsQxqxik","Launch 4 Squad Strike - yeti [L] Vs. Seagull Joe SSBU Grand Finals"
"161","/watch?v=IqCxepetAJM","Launch 4 - yeti (Mega Man) Vs. Seagull Joe (Wolf) SSBU Grand Finals"
"162","/watch?v=vJnVC-mIi2E","Tap Jump 18 SSBU Grand Finals - Stroder (Diddy Kong) vs djsmell (Inkling)"
"163","/watch?v=YBYt-bkNdtA","Game On Expo 2019 SSBU Sunday Grand Finals - Skylar (Incineroar) vs Gemini (Ridley/Bowser)"
"164","/watch?v=Muo5CBvQMrQ","Game On Expo 2019 Friday SSBU Grand Finals - Skarm (Ken) vs Havri (Palutena)"
"165","/watch?v=FDjpKM4H3EE","Ascension VIII SSBU Doubles Grand Finals - Stroder & Pandarian (Blue) vs Cyro & Silver (Red)"
"166","/watch?v=srQ12anQ9Ic","Smash Ultimate Tournament - ZD (Trainer) Vs. JLim [L] (Joker, Snake) The Grind 88 SSBU Grand Finals"
"167","/watch?v=qOwdimTWMy8","Smash Ultimate Tournament - Gen (Palutena) Vs. Mr E (Lucina) SSBU Xeno 174 Grand Finals"
"168","/watch?v=zC0_BB9oRj0","Ascension VIII SSBU Grand Finals - Stroder (Greninja) vs Izark|Cyro (Roy/Meta Knight)"
"169","/watch?v=UGV-6_kdyzY","Harpuia(Link, Joker) vs Hive(Peach)  Arcade Legacy #30 SSBU  Grand Finals"
"170","/watch?v=ge7LSHpR-so","Umebura SP4 SSBU - Brood (PP) Vs. SNB | Abadango (Wario) Smash Ultimate Tournament Grand Finals"
"171","/watch?v=lHLxsLAkKek","FNS (8/16/19) - Phenom (Fox) vs GGKR (Roy) Grand Finals - SSBU"
"172","/watch?v=SPyjBgqJT5E","SSBU Grand Finals - INKOGNITO VS Kyeean - VSCommunity Weekly 14/08/19"
"173","/watch?v=M1KNBMDwr6Y","SR6 SSBU - MopN (Roy) Vs. C2 (Palutena/Pikachu) Grand Finals Smash Ultimate"
"174","/watch?v=6TeruBE2hVo","USW 36 - HMO | N (Ken) vs HMO | KingK (ROB) Grand Finals - SSBU"
"175","/watch?v=07E4ngSlDAU","SL Melee #333 - Kage (Ganon) vs Legend (Jigglypuff) - Grand Finals"
"176","/watch?v=QuJK90gJ8hQ","Spectrum #105 - Darkmatter / Chaos Vs. Lemontea / Steezy - Grand Finals - SSBU"
"177","/watch?v=CLWNDfnMhC4","SSBU #35 - WaDi vs. Riddles - Grand Finals - Smash Ultimate - 8/08/19"
"178","/watch?v=1aYvff0Ol0A","Fritos(Mario) vs Hive(Inkling), Peach  Arcade Legacy #29 SSBU  Grand Finals"
"179","/watch?v=UeIFB1QlOuY","FZFN #5 SSBU | Loki (Rob) VS Omen (Bowser) | Grand Finals"
"180","/watch?v=l1MveQMqiFo","LSD8 - LSD | C3P0 (Snake) VS NPT | Ninja (Mario) SSBU Grand Finals"
"181","/watch?v=AI63RHUb1uc","SSC 2019 Smash Ultimate Grand Finals - eUnited | Samsora (Peach) VS FOX MVG | MkLeo (Joker)"
"182","/watch?v=SSrvssXs4fs","SSBU @ Battlegroundz - Grand Finals: Diamond D (Fox/Isabelle/Joker) vs Jynx (Palutena/Wario/Pacman)"
"183","/watch?v=i8rlQx3jvFU","SSC 2019 SSBM - TSM Leffen (Fox) VS Liquid Hungrybox (Jigglypuff) Smash Melee Grand Finals"
"184","/watch?v=17-l9N3fFhU","SSC 2019 SSBU -  Marss & Light VS  MkLeo & Javi - Ultimate Grand Finals"
"185","/watch?v=3X7dok2LiRI","USW 35 - FRKS | Cheeks (Cloud) vs Lima (Bayonetta) Grand Finals - SSBU"
"186","/watch?v=VFVZuNfV2xI","MasterHand 48 SSBU -Grand Finals- Lucia(Metaknight) vs. Compact(Palutena)"
"187","/watch?v=9edu2ZNJyfg","SSC2019 SSBU - FOX MVG Mew2King (Bowser) VS  Puppeh (Charizard) The Rumble Finals"
"188","/watch?v=YMeFHhvAJJc","SSBU Singles (Grand Finals) - Paul vs. Ruben | Smash or Pass 5"
"189","/watch?v=f-gJ75uGzWI","Smash Ultimate Tournament - MKLeo (Hero, Joker) Vs. Maister (Game & Watch) S@X 314 SSBU Grand Finals"
"190","/watch?v=c6QQ1ESxiEA","SAS 91 - Peace!2 (Wario) vs Kyuwolf (Hero, Inkling) Grand Finals - SSBU"
"191","/watch?v=PSF0OtsdyJY","Darkshad(Shulk) vs Doorstop(ZSS)  Arcade Legacy #28 SSBU  Grand Finals"
"192","/watch?v=YRw2iul8rYE","Battle Subway 2 - Juice vs ZD - Grand Finals - SSBU"
"193","/watch?v=eAU7RjTskMA","DDD 27 SSBU Grand Finals - JumboJack (Diddy Kong/ Captain Falcon/ Mr Game & Watch) vs Stroder (Hero)"
"194","/watch?v=DwXADvlgVHI","Wi-Fight Night 10 SSBU Grand Finals -  [L] KennDriick (DK) Vs. DunDeal (Bowser)"
"195","/watch?v=m6CrWBOxecY","EVO 2019 Smash Ultimate Grand Finals - TSM | Tweek (Pokemon Trainer) Vs. FOX | MkLeo (Joker)"
"196","/watch?v=llpHoGFg-IQ","EVO 2019 SSBU - SLY | Glutonny (Wario) Vs FOX | MkLeo (Joker) Smash Ultimate Tournament Losers Final"
"197","/watch?v=kXmZ0her5i8","Fairbanks Showdown #1 S3: Deku (Link) vs Atheo (K Rool, Palu) - SSBU Grand Finals..? (Watch ending)"
"198","/watch?v=Hgw1TeVSpcc","Smash Ultimate Tournament - Dexter (Wolf) Vs. Parappa (Brawler, Hero) The Grind 87 SSBU Grand Finals"
"199","/watch?v=Rxqsl4C83S4","TSL 183 SSBU Grand Finals - B-Rice (Isabelle) vs Underdogg (Snake)"
"200","/watch?v=VPhL_SE5mKM","USW 33 - WBG | MVD (Snake) vs PG | ESAM (Pikachu) Grand Finals - SSBU"
"201","/watch?v=Tn3uBHBA9oo","USW 32 - HMO | Xillion (Robin) vs Lima (Bayonetta) Grand Finals - SSBU"
"202","/watch?v=YWVGQKKVjos","USW 31 - Lima (Peach) vs PG | ESAM (Pikachu) Grand Finals - SSBU"
"203","/watch?v=uDX7XBNVrYU","Smash Ultimate Tournament - Juice (Falco) Vs. Utopian Ray (Hero) SSBU Xeno 172 Grand Finals"
"204","/watch?v=GhlqNh2Tiho","SLUSH 6 - Fat_Aime (Joker, Ike) vs. Tanman[L] (Ness) Grand Finals SSBU"
"205","/watch?v=jAiss2Z_pKk","Sink or Swim 145 SSBU Grand Finals - Felix (Fox) vs Ronald (Roy/Ken)"
"206","/watch?v=Ol--hB__XCQ","Smash Ultimate Tournament - Dazai (Roy) Vs. Dexter [L] (Wolf, Roy) S@X 313 SSBU Grand Finals"
"207","/watch?v=GYFkCdBJd8k","Smash Ultimate 4.0 Tournament Grand Finals - Moosh (Hero) vs Deli (Hero) - S@LT 199"
"208","/watch?v=6E0aA16Db2s","SSBU #33 - Tengu vs. Rags - Grand Finals - Smash Ultimate - 7/25/19"
"209","/watch?v=klxGP_adbPE","DDD 26 SSBU Grand Finals - Dio (ROB) vs Skylar (Mr Game & Watch)"
"210","/watch?v=dnz21i3hmhs","SSBU @ Battlegroundz - Grand Final: S2H (Bowser/Snake/PT) vs Arrow[L] (Marth)"
"211","/watch?v=UWrQAv4lVBA","TJ 15 SSBU Grand Finals - Junior Z (Mario / Roy) vs Abaasy (Palutena / Shulk)"
"212","/watch?v=AD4gaRunKpA","SF8 SSBU - FOX | MkLeo (Joker) Vs. PG | Marss (ZSS) Smash Ultimate Tournament Grand Finals"
"213","/watch?v=AAbZAZhfuIc","SLUSH 5 - Tanman[L] (Lucas, Ness) vs Fat_Aime (Joker) Grand Finals SSBU"
"214","/watch?v=-SrkLtRu-Ps","SLUSH 2 - Tanman[L] (Lucas) vs EJ (Bowser) Grand Finals SSBU"
"215","/watch?v=UsUC7SSxS-8","Mega Drive 14 SSBU - Gainz Control (Pikachu) vs Dowser (Ridley, Ludwig) - Grand Finals"
"216","/watch?v=_T2qTzfBGg4","SF8 SSBU - Glutonny & Mr. R Vs. MkLeo & Javi - Smash Ultimate Tournament Grand Finals"
"217","/watch?v=pZonN4_pYkw","Rushdown 29 - TLOC | Awestin (Ness) vs Lima (Bayonetta) Grand Finals - SSBU"
"218","/watch?v=1kb81rLIVxU","Smash Ultimate Tournament - Gen (Ken) Vs. NickC (Captain Falcon) SSBU Xeno 171 Grand Finals"
"219","/watch?v=D1TrxkQToD8","EMG | BlackTwins vs. NCG SC | Jw - Grand Finals, Toryuken 2019 SSBU"
"220","/watch?v=ZqpKcVYxd4s","SSBU Doubles Grand Finals - UTHROW STICKY VS LANA PRACEMIE - VSCommunity Weekly 24/07/19"
