"","entry_nr","entry_date","entry_id","tournament","url","player","placement","character"
"10322",132,2019-01-05,"132-2","SoCal Chronicles ","https://smash.gg/tournament/socal-chronicles-1/events/ultimate-singles/brackets/427685/777589
"," Rice ",5,"Mario"
"10323",132,2019-01-05,"132-2","SoCal Chronicles ","https://smash.gg/tournament/socal-chronicles-1/events/ultimate-singles/brackets/427685/777589
"," MastaMario ",5,"Mario"
"10351",136,2019-01-06,"136-1","Smashmania XI ",NA," Stronghold ",3,"Mario"
"10353",136,2019-01-06,"136-1","Smashmania XI ",NA," Nozomi ",5,"Mario"
"10370",137,2019-01-06,"137-1","Sumabato SP 1 ","https://challonge.com/SumabatoSP1T
"," Tatsutsuyo ",3,"Mario"
"10410",142,2019-01-06,"142-1","Kumite in Tennessee 2019 ",NA," JDB! ",5,"Mario"
"10431",144,2019-01-06,"144-1","Smash Conference United ","https://smash.gg/tournament/smash-c...-bros-ultimate-singles/brackets/495224/858690
"," Dark Wizzy ",9,"Mario"
"10512",158,2019-01-09,"158-1","Hollywood Action Tuesdays 28 ","https://smash.gg/tournament/hollywo...te-singles/standings?filter={}&page=1&sortBy=
"," - eM Zenyou ",2,"Mario"
"10513",158,2019-01-09,"158-1","Hollywood Action Tuesdays 28 ","https://smash.gg/tournament/hollywo...te-singles/standings?filter={}&page=1&sortBy=
"," - MastaMario ",3,"Mario"
"10551",169,2019-01-11,"169-1","weds-night-fights-x-oakland s2e2 ","https://smash.gg/tournament/weds-night-fights-x-oakland-2019-s2ep02/events/smash-ultimate/overview
"," Teb ",5,"Mario"
"10570",171,2019-01-11,"171-1","Mega Smash Mondays 171 ","https://smash.gg/tournament/mega-smash-mondays-171/details
"," MastaMario ",7,"Mario"
"10583",172,2019-01-11,"172-1","Smashland 47 ","https://smash.gg/tournament/smashlan-d-47/events/ultimate-singles/standings 
"," Arconi ",5,"Mario"
"10598",175,2019-01-11,"175-1","Kumite ","https://smash.gg/tournament/kumite-...te-singles/standings?filter={}&page=1&sortBy=
"," JDB! ",5,"Mario"
"10609",176,2019-01-12,"176-1","Sink or Swim 116 Tempe, AZ ","https://smash.gg/tournament/sink-orswim116/events/ultimate-singles/standings
"," Stroder ",1,"Mario"
"10688",179,2019-01-12,"179-1","Orbitar 63 ",NA," Duwang ",4,"Mario"
"10728",182,2019-01-12,"182-1","Otaku Zone Season 1 Week 2 ","https://smash.gg/tournament/otaku-zone-season-1-week-2/events/singles/brackets/506344/872134
"," Gidy ",4,"Mario"
"10818",191,2019-01-13,"191-2","HST SP 1 ","https://challonge.com/HSTSP1Singles
"," Nao ",7,"Mario"
"10864",195,2019-01-13,"195-1","Smash N' Grab ","https://smash.gg/tournament/smash-n-grab/events/smash-n-grab-singles/overview
"," Casual ",3,"Mario"
"10922",201,2019-01-14,"201-2",NA,"https://imgur.com/a/TKN9s8G
"," - ",1,"Mario"
"10938",201,2019-01-14,"201-3",NA,NA," - ",2,"Mario"
"10971",209,2019-01-16,"209-1","Mega Smash Mondays 172 ","https://smash.gg/tournament/mega-smash-mondays-172/events/ultimate-singles/standings
"," MastaMario ",4,"Mario"
"10990",210,2019-01-16,"210-1","(Woodbright Township, NJ) ","https://smash.gg/tournament/spectrum-smash-78/events/ultimate-singles/standings
"," BBMBeast ",7,"Mario"
